,Hemisphere,Day,Month,Year,Date,Temperature Variation
0,Global,01,January,1880,01/January/1880,-0.17
1,Global,01,January,1881,01/January/1881,-0.18
2,Global,01,January,1882,01/January/1882,0.18
3,Global,01,January,1883,01/January/1883,-0.28
4,Global,01,January,1884,01/January/1884,-0.12
5,Global,01,January,1885,01/January/1885,-0.58
6,Global,01,January,1886,01/January/1886,-0.43
7,Global,01,January,1887,01/January/1887,-0.71
8,Global,01,January,1888,01/January/1888,-0.33
9,Global,01,January,1889,01/January/1889,-0.08
10,Global,01,January,1890,01/January/1890,-0.41
11,Global,01,January,1891,01/January/1891,-0.34
12,Global,01,January,1892,01/January/1892,-0.28
13,Global,01,January,1893,01/January/1893,-0.81
14,Global,01,January,1894,01/January/1894,-0.52
15,Global,01,January,1895,01/January/1895,-0.4
16,Global,01,January,1896,01/January/1896,-0.21
17,Global,01,January,1897,01/January/1897,-0.15
18,Global,01,January,1898,01/January/1898,-0.01
19,Global,01,January,1899,01/January/1899,-0.15
20,Global,01,January,1900,01/January/1900,-0.35
21,Global,01,January,1901,01/January/1901,-0.21
22,Global,01,January,1902,01/January/1902,-0.17
23,Global,01,January,1903,01/January/1903,-0.22
24,Global,01,January,1904,01/January/1904,-0.62
25,Global,01,January,1905,01/January/1905,-0.34
26,Global,01,January,1906,01/January/1906,-0.27
27,Global,01,January,1907,01/January/1907,-0.42
28,Global,01,January,1908,01/January/1908,-0.44
29,Global,01,January,1909,01/January/1909,-0.71
30,Global,01,January,1910,01/January/1910,-0.41
31,Global,01,January,1911,01/January/1911,-0.61
32,Global,01,January,1912,01/January/1912,-0.24
33,Global,01,January,1913,01/January/1913,-0.39
34,Global,01,January,1914,01/January/1914,0.06
35,Global,01,January,1915,01/January/1915,-0.2
36,Global,01,January,1916,01/January/1916,-0.11
37,Global,01,January,1917,01/January/1917,-0.57
38,Global,01,January,1918,01/January/1918,-0.47
39,Global,01,January,1919,01/January/1919,-0.2
40,Global,01,January,1920,01/January/1920,-0.24
41,Global,01,January,1921,01/January/1921,-0.04
42,Global,01,January,1922,01/January/1922,-0.32
43,Global,01,January,1923,01/January/1923,-0.27
44,Global,01,January,1924,01/January/1924,-0.22
45,Global,01,January,1925,01/January/1925,-0.38
46,Global,01,January,1926,01/January/1926,0.21
47,Global,01,January,1927,01/January/1927,-0.27
48,Global,01,January,1928,01/January/1928,-0.01
49,Global,01,January,1929,01/January/1929,-0.44
50,Global,01,January,1930,01/January/1930,-0.29
51,Global,01,January,1931,01/January/1931,-0.1
52,Global,01,January,1932,01/January/1932,0.15
53,Global,01,January,1933,01/January/1933,-0.23
54,Global,01,January,1934,01/January/1934,-0.21
55,Global,01,January,1935,01/January/1935,-0.33
56,Global,01,January,1936,01/January/1936,-0.27
57,Global,01,January,1937,01/January/1937,-0.07
58,Global,01,January,1938,01/January/1938,0.08
59,Global,01,January,1939,01/January/1939,-0.05
60,Global,01,January,1940,01/January/1940,0.0
61,Global,01,January,1941,01/January/1941,0.18
62,Global,01,January,1942,01/January/1942,0.29
63,Global,01,January,1943,01/January/1943,-0.01
64,Global,01,January,1944,01/January/1944,0.36
65,Global,01,January,1945,01/January/1945,0.1
66,Global,01,January,1946,01/January/1946,0.15
67,Global,01,January,1947,01/January/1947,-0.07
68,Global,01,January,1948,01/January/1948,0.06
69,Global,01,January,1949,01/January/1949,0.07
70,Global,01,January,1950,01/January/1950,-0.26
71,Global,01,January,1951,01/January/1951,-0.34
72,Global,01,January,1952,01/January/1952,0.12
73,Global,01,January,1953,01/January/1953,0.07
74,Global,01,January,1954,01/January/1954,-0.24
75,Global,01,January,1955,01/January/1955,0.13
76,Global,01,January,1956,01/January/1956,-0.12
77,Global,01,January,1957,01/January/1957,-0.09
78,Global,01,January,1958,01/January/1958,0.39
79,Global,01,January,1959,01/January/1959,0.08
80,Global,01,January,1960,01/January/1960,0.0
81,Global,01,January,1961,01/January/1961,0.07
82,Global,01,January,1962,01/January/1962,0.05
83,Global,01,January,1963,01/January/1963,-0.03
84,Global,01,January,1964,01/January/1964,-0.09
85,Global,01,January,1965,01/January/1965,-0.08
86,Global,01,January,1966,01/January/1966,-0.19
87,Global,01,January,1967,01/January/1967,-0.07
88,Global,01,January,1968,01/January/1968,-0.26
89,Global,01,January,1969,01/January/1969,-0.11
90,Global,01,January,1970,01/January/1970,0.08
91,Global,01,January,1971,01/January/1971,-0.02
92,Global,01,January,1972,01/January/1972,-0.22
93,Global,01,January,1973,01/January/1973,0.29
94,Global,01,January,1974,01/January/1974,-0.1
95,Global,01,January,1975,01/January/1975,0.1
96,Global,01,January,1976,01/January/1976,-0.03
97,Global,01,January,1977,01/January/1977,0.18
98,Global,01,January,1978,01/January/1978,0.06
99,Global,01,January,1979,01/January/1979,0.08
100,Global,01,January,1980,01/January/1980,0.3
101,Global,01,January,1981,01/January/1981,0.53
102,Global,01,January,1982,01/January/1982,0.05
103,Global,01,January,1983,01/January/1983,0.53
104,Global,01,January,1984,01/January/1984,0.31
105,Global,01,January,1985,01/January/1985,0.22
106,Global,01,January,1986,01/January/1986,0.26
107,Global,01,January,1987,01/January/1987,0.32
108,Global,01,January,1988,01/January/1988,0.57
109,Global,01,January,1989,01/January/1989,0.12
110,Global,01,January,1990,01/January/1990,0.42
111,Global,01,January,1991,01/January/1991,0.43
112,Global,01,January,1992,01/January/1992,0.47
113,Global,01,January,1993,01/January/1993,0.35
114,Global,01,January,1994,01/January/1994,0.26
115,Global,01,January,1995,01/January/1995,0.52
116,Global,01,January,1996,01/January/1996,0.24
117,Global,01,January,1997,01/January/1997,0.3
118,Global,01,January,1998,01/January/1998,0.58
119,Global,01,January,1999,01/January/1999,0.49
